season,team,interval,shots,goals,xG,total_goals,goals_minus_xG,goals_percentage,shots_against,goals_against,xGA,total_goals_against,goals_against_minus_xGA,goals_against_percentage
2023,Liverpool,46-60,160,17,24.3967318572104,86,-7.396731857210401,19.767441860465116,81,7,9.269106953404844,41,-2.269106953404844,17.073170731707318
2023,Liverpool,61-75,127,14,17.593505159951746,86,-3.5935051599517465,16.27906976744186,61,5,7.994864921085536,41,-2.9948649210855356,12.195121951219512
2023,Liverpool,76+,157,25,19.281976372003555,86,5.718023627996445,29.069767441860467,111,10,13.633847940247506,41,-3.633847940247506,24.390243902439025
2023,Manchester City,1-15,118,13,16.686308339238167,96,-3.686308339238167,13.541666666666666,36,4,3.798467975109816,34,0.20153202489018396,11.76470588235294
2023,Manchester City,16-30,121,16,15.248775919899344,96,0.7512240801006556,16.666666666666664,35,4,3.960975314490497,34,0.03902468550950289,11.76470588235294
2023,Manchester City,31-45,112,10,10.721984829753636,96,-0.7219848297536355,10.416666666666668,53,7,6.700721511617303,34,0.2992784883826971,20.588235294117645
2023,Manchester City,46-60,139,17,17.77011044509709,96,-0.7701104450970888,17.708333333333336,56,3,8.191475629806519,34,-5.1914756298065186,8.823529411764707
2023,Manchester City,61-75,93,21,13.666763542219996,96,7.3332364577800035,21.875,56,7,7.850206196308136,34,-0.850206196308136,20.588235294117645
2023,Manchester City,76+,114,19,18.18990335892886,96,0.8100966410711408,19.791666666666664,58,9,8.314516937360168,34,0.6854830626398325,26.47058823529412
2023,Manchester United,1-15,96,7,9.146466709673405,57,-2.1464667096734047,12.280701754385964,81,7,8.109937676228583,58,-1.1099376762285829,12.068965517241379
2023,Manchester United,16-30,70,9,8.422146729193628,57,0.5778532708063722,15.789473684210526,117,11,12.785794239491224,58,-1.7857942394912243,18.96551724137931
2023,Manchester United,31-45,80,6,7.36067246645689,57,-1.36067246645689,10.526315789473683,106,6,10.950762206688523,58,-4.950762206688523,10.344827586206897
2023,Manchester United,46-60,99,8,12.413172646425664,57,-4.413172646425664,14.035087719298245,129,8,16.739357984624803,58,-8.739357984624803,13.793103448275861
2023,Manchester United,61-75,94,11,11.639716824516654,57,-0.639716824516654,19.298245614035086,81,9,9.416608734987676,58,-0.41660873498767614,15.517241379310345
2023,Manchester United,76+,110,16,11.835533536039293,57,4.164466463960707,28.07017543859649,153,17,18.748000198975205,58,-1.7480001989752054,29.310344827586203
2023,Tottenham,1-15,76,12,10.713348969817162,74,1.2866510301828384,16.216216216216218,88,8,14.168163795024157,61,-6.168163795024157,13.114754098360656
2023,Tottenham,16-30,84,5,9.597447903826833,74,-4.597447903826833,6.756756756756757,72,12,11.44559244159609,61,0.5544075584039092,19.672131147540984
2023,Tottenham,31-45,72,8,8.76541502494365,74,-0.7654150249436498,10.81081081081081,84,8,10.8641827814281,61,-2.8641827814281005,13.114754098360656
2023,Tottenham,46-60,128,20,17.975498837884516,74,2.0245011621154845,27.027027027027028,91,12,14.519956544972956,61,-2.519956544972956,19.672131147540984
2023,Tottenham,61-75,103,10,11.646523603238164,74,-1.6465236032381636,13.513513513513514,46,8,6.742428845260292,61,1.2575711547397077,13.114754098360656
2023,Tottenham,76+,124,19,20.059261478483677,74,-1.059261478483677,25.675675675675674,109,13,14.456507858354598,61,-1.4565078583545983,21.311475409836063
2024,Arsenal,1-15,85,9,10.299579826183615,69,-1.2995798261836153,13.043478260869565,37,5,4.284926924854517,34,0.715073075145483,14.705882352941178
2024,Arsenal,16-30,78,8,9.66138272639364,69,-1.66138272639364,11.594202898550725,49,5,6.8807162856683135,34,-1.8807162856683135,14.705882352941178
2024,Arsenal,31-45,85,15,14.610852628946304,69,0.3891473710536957,21.73913043478261,48,3,4.769553003832698,34,-1.7695530038326979,8.823529411764707
2024,Arsenal,46-60,108,14,17.079815291799605,69,-3.079815291799605,20.28985507246377,84,9,9.072180871851742,34,-0.07218087185174227,26.47058823529412
2024,Arsenal,61-75,89,12,12.826939166523516,69,-0.8269391665235162,17.391304347826086,56,7,6.269233674742281,34,0.7307663252577186,20.588235294117645
2024,Arsenal,76+,103,11,13.11891634017229,69,-2.118916340172291,15.942028985507244,88,5,9.104295948520305,34,-4.1042959485203045,14.705882352941178
2024,Chelsea,1-15,81,11,10.153605254366994,64,0.8463947456330061,17.1875,45,6,6.072981875389814,43,-0.07298187538981438,13.953488372093023
2024,Chelsea,16-30,106,11,16.164846781641245,64,-5.164846781641245,17.1875,55,8,7.186507604084909,43,0.813492395915091,18.6046511627907
2024,Chelsea,31-45,88,8,9.936743100173771,64,-1.9367431001737714,12.5,69,5,10.057438428513706,43,-5.057438428513706,11.627906976744185
2024,Chelsea,46-60,122,12,15.766310843639076,64,-3.7663108436390758,18.75,66,9,9.242212381213903,43,-0.24221238121390343,20.930232558139537
2024,Chelsea,61-75,92,9,12.114863057620823,64,-3.1148630576208234,14.0625,65,4,9.084283207543194,43,-5.084283207543194,9.30232558139535
2024,Chelsea,76+,109,13,13.255024932324886,64,-0.2550249323248863,20.3125,98,11,12.821575692854822,43,-1.8215756928548217,25.581395348837212
2024,Liverpool,1-15,89,11,11.71931549627334,86,-0.7193154962733406,12.790697674418606,43,9,4.9345448818057775,41,4.0654551181942225,21.951219512195124
2024,Liverpool,16-30,98,14,13.446062535978854,86,0.5539374640211463,16.27906976744186,48,1,4.702876747585833,41,-3.702876747585833,2.4390243902439024
2024,Liverpool,31-45,85,14,13.332118375226855,86,0.6678816247731447,16.27906976744186,77,9,9.590711473487318,41,-0.5907114734873176,21.951219512195124
2024,Liverpool,46-60,128,16,20.71922365948558,86,-4.7192236594855785,18.6046511627907,71,7,8.474995028227568,41,-1.4749950282275677,17.073170731707318
2024,Liverpool,61-75,123,16,18.57575780991465,86,-2.5757578099146485,18.6046511627907,62,7,6.076613697223365,41,0.9233863027766347,17.073170731707318
2024,Liverpool,76+,126,15,18.05539679620415,86,-3.0553967962041497,17.441860465116278,87,8,11.160525320097804,41,-3.160525320097804,19.51219512195122
2024,Manchester City,1-15,92,14,14.972557212226093,72,-0.9725572122260928,19.444444444444446,54,12,9.76639206521213,44,2.2336079347878695,27.27272727272727
2024,Manchester City,16-30,88,13,13.575156273320315,72,-0.5751562733203155,18.055555555555554,53,7,9.549710538238289,44,-2.5497105382382887,15.909090909090908
2024,Manchester City,31-45,122,14,13.408718291670084,72,0.591281708329916,19.444444444444446,55,3,6.644225398078561,44,-3.644225398078561,6.8181818181818175
2024,Manchester City,46-60,105,9,12.59680816717446,72,-3.5968081671744603,12.5,67,5,9.555555357597768,44,-4.555555357597768,11.363636363636363
2024,Manchester City,61-75,91,6,8.877118699252605,72,-2.8771186992526054,8.333333333333332,52,5,8.280014410614967,44,-3.2800144106149673,11.363636363636363
2024,Manchester City,76+,111,16,12.704988917335868,72,3.295011082664132,22.22222222222222,75,12,11.450871356762946,44,0.5491286432370543,27.27272727272727
2024,Manchester United,1-15,65,2,8.70723582431674,44,-6.70723582431674,4.545454545454546,57,7,8.898799599613994,54,-1.8987995996139944,12.962962962962962
2024,Manchester United,16-30,60,6,9.00995968002826,44,-3.0099596800282598,13.636363636363635,69,7,8.154339564032853,54,-1.1543395640328526,12.962962962962962
2024,Manchester United,31-45,91,7,8.728327803313732,44,-1.7283278033137321,15.909090909090908,64,8,11.19745251070708,54,-3.1974525107070804,14.814814814814813
2024,Manchester United,46-60,89,6,6.9647524654865265,44,-0.9647524654865265,13.636363636363635,83,13,11.39029363077134,54,1.6097063692286593,24.074074074074073
2024,Manchester United,61-75,75,6,8.68712714035064,44,-2.68712714035064,13.636363636363635,65,12,11.961268325336276,54,0.03873167466372429,22.22222222222222
2024,Manchester United,76+,150,17,17.602349263615906,44,-0.6023492636159062,38.63636363636363,78,7,12.00963009055704,54,-5.009630090557041,12.962962962962962
2024,Tottenham,1-15,89,15,12.632540865801277,64,2.3674591341987234,23.4375,85,9,10.383783070370557,65,-1.3837830703705567,13.846153846153847
2024,Tottenham,16-30,78,11,10.057901973836124,64,0.9420980261638761,17.1875,78,10,9.556514985859394,65,0.4434850141406059,15.384615384615385
2024,Tottenham,31-45,71,5,9.221625200472772,64,-4.221625200472772,7.8125,83,14,15.342354922555389,65,-1.3423549225553888,21.53846153846154
2024,Tottenham,46-60,92,11,14.296009452082217,64,-3.2960094520822167,17.1875,105,12,16.547154566273093,65,-4.547154566273093,18.461538461538463
2024,Tottenham,61-75,73,5,6.921281622722745,64,-1.921281622722745,7.8125,85,10,11.483925216831269,65,-1.4839252168312687,15.384615384615385
2024,Tottenham,76+,96,17,15.981305453926325,64,1.0186945460736752,26.5625,90,10,9.98845729790628,65,0.011542702093720436,15.384615384615385
2025,Arsenal,1-15,91,9,13.066159905400127,71,-4.066159905400127,12.676056338028168,34,3,5.74491093121469,27,-2.74491093121469,11.11111111111111
2025,Arsenal,16-30,67,5,10.714770313352346,71,-5.714770313352346,7.042253521126761,51,1,5.3401322569698095,27,-4.3401322569698095,3.7037037037037033
2025,Arsenal,31-45,106,17,13.711657903157176,71,3.2883420968428236,23.943661971830984,39,5,3.4247130574658513,27,1.5752869425341487,18.51851851851852
